115-CD45,139-CD45RA,142-CD19,144-CD11b,145-CD4,146-CD8,148-CD34,147-CD20,158-CD33,160-CD123,167-CD38,170-CD90,110_114-CD3
4.56182,1.60248,-0.11901,-0.10347,2.92823,0.3527,0.38805,-0.18862,-0.1333,-0.06177,-0.42856,0.96624,4.93203
3.13792,1.7552,3.73586,4.19289,2.10735,2.85575,2.92442,0.9705,0.65519,0.09288,1.52415,1.41234,2.36911
3.41251,1.80412,-0.07524,-0.47859,1.18961,1.60483,-0.46135,-0.17234,-1.26525,-0.25454,4.55147,0.40901,-1.10393
2.8795,-0.31911,-0.317,-0.08165,-0.16848,-0.31379,-2.66877,-0.27045,3.774,1.50483,4.58664,-0.17374,0.26599
4.86822,1.63449,-0.04739,2.36128,1.76731,-0.04013,0.87583,-0.16972,4.20316,1.05887,3.71362,0.35207,-0.67082
2.65885,0.95834,-0.1719,0.50062,-0.09112,-0.03151,2.04383,-0.15263,-0.8504,-0.34722,3.13956,-0.10601,1.47468
3.71195,1.44424,2.35832,1.05637,-0.1339,-0.2285,0.88275,2.29981,1.27588,-0.20987,2.35138,1.17001,1.7311
4.02011,2.20399,2.113,-0.15504,-0.20019,-0.36274,0.29196,1.22234,0.45923,0.84506,0.0728,0.78082,-1.25465
3.89937,-0.05276,-0.49967,-0.33001,3.65306,1.16892,-2.03381,0.11995,0.31155,-0.10746,2.2481,0.61717,4.32725
3.64879,3.48658,1.86226,0.5094,0.72549,-0.41482,-0.12914,1.10648,-0.83587,0.74108,-0.07459,0.34801,0.40576
2.92826,-0.1148,1.94022,-0.16045,-0.09608,-0.25611,0.35476,0.09416,0.05179,0.07267,7.52632,-0.19011,0.39572
3.88813,0.05235,-0.08446,1.47459,3.15504,1.08504,-0.16666,-0.14564,-0.07274,-0.70289,1.43284,0.54952,4.41777
4.9322,0.16112,0.16996,3.25562,1.64455,1.43769,-0.03556,-0.06013,5.2288,1.34649,4.05259,0.68016,2.23903
0.1624,-0.46976,-0.0943,-0.13679,-0.07684,-0.31648,1.10827,1.78053,3.94311,1.42541,2.64962,0.89797,4.05936
1.54775,-0.30555,-0.08065,1.64807,-0.10729,-0.11568,-0.04023,-0.0838,1.44009,1.02401,3.25918,0.91185,0.54516
4.74143,4.35983,-0.68275,0.1913,-0.11974,5.08457,0.99762,1.55395,-0.46099,1.22663,1.59249,0.22008,4.60981
4.32801,3.19893,0.49624,0.36642,-0.11865,-0.03477,-0.16807,0.47864,-0.12544,-0.01557,0.33458,-0.1775,2.31199
4.85936,-0.03254,-0.00437,4.12458,2.29627,-0.22254,0.2559,1.09613,4.76083,2.67274,4.67368,0.20056,1.31055
-0.34019,1.9205,-0.14008,-0.09523,-0.17848,-0.12367,0.44165,0.54659,-0.01351,-0.04312,0.59626,0.03955,0.7583
0.979,-0.21123,-0.08803,-0.14063,-0.38102,-0.34888,-0.06986,-0.13911,-0.46758,-0.10231,0.17177,0.34888,-1.60828
4.61305,2.87815,-0.08378,0.57492,-0.10876,2.95403,0.69407,-0.05153,-0.09093,-0.05265,2.64509,-0.10018,4.87177
4.88325,0.58045,-0.03434,-0.14273,-0.07894,4.76182,-0.14638,0.43009,-0.24078,-0.05046,0.20523,-0.07981,3.69117
4.50266,3.97152,-0.00911,-0.1018,-0.15192,4.63589,0.08271,0.09031,2.2685,1.3992,3.64743,0.38981,4.5104
3.46301,-1.24081,0.70502,1.8699,1.18043,0.79579,0.49029,-0.12411,4.61189,2.13959,4.61502,1.23212,-0.96352
4.52576,-0.73499,-0.27216,4.03901,2.78538,1.6657,0.22894,-0.03237,4.71928,2.56611,3.7399,0.06383,0.41452
3.1046,2.0541,3.10765,-0.06432,0.40825,-0.06274,0.59258,-0.18516,1.3233,2.17699,5.96447,-0.22334,-1.19409
3.53535,1.62822,0.68513,2.43316,2.68501,-0.12037,-0.00691,-0.02666,3.35319,1.51851,3.61108,1.07236,2.94009
4.95118,3.03352,1.21922,0.71495,0.48602,4.32795,0.13913,0.4479,-0.10895,0.97261,2.68351,-0.06,4.63848
-0.17836,0.33215,-0.05869,-0.01051,-0.19815,0.44216,-0.13645,0.14339,1.57823,-0.11382,2.30363,-0.12025,2.85394
1.51545,0.41631,0.11084,0.36188,-0.00826,0.25136,-0.08741,-0.0546,1.42146,-0.11681,3.50483,-0.01624,0.02313
5.20038,4.19235,0.22194,0.47633,-0.1892,4.84176,-0.28891,0.09476,0.1429,0.16416,1.87897,1.15978,4.01649
-0.10021,-0.07776,-0.06587,-0.29693,-0.1118,-0.15864,-0.16291,0.01779,1.99707,-0.244,2.26313,1.41917,3.38611
3.16894,1.58894,0.03819,1.59053,0.64901,0.60889,0.3319,-0.07704,3.83267,1.6328,2.52265,0.3346,2.51071
-0.34865,-0.03803,-0.15705,-0.1582,-0.18536,-0.09724,-0.04068,-0.10123,-0.41543,-0.20754,-0.40822,0.93338,-1.3907
4.3151,3.22487,3.54975,0.1588,-0.19919,-0.04422,1.12435,2.46009,1.99628,2.88769,3.42605,-0.05061,2.17273
2.27288,-0.27234,-0.11937,0.57762,1.38667,-0.29303,1.5369,-0.09675,1.91387,0.17093,2.78502,0.95168,-0.65093
4.6519,1.76223,-0.15683,0.43203,3.61047,0.98105,0.59004,0.05999,-0.24416,-0.12936,2.61569,0.37994,5.02496
4.53239,2.72822,-0.06238,-0.12042,-0.13006,3.7395,0.11048,0.27654,-0.36505,0.79066,1.59865,0.41319,4.55109
4.89393,0.68591,-0.39674,3.45615,2.28661,1.0814,0.82969,0.86249,4.76298,1.53184,4.0083,0.88043,0.40152
-0.23395,-0.3088,0.98675,-0.33529,-0.26592,0.46372,0.68076,0.2481,-0.18516,-0.0322,2.95782,0.5683,1.62439
-0.1053,0.13895,0.34962,-0.14769,-0.17224,-0.0229,-0.05306,0.62361,0.00074,-0.67023,0.94514,-0.19153,1.44004
-0.91289,0.468,-0.17072,-0.03098,-0.08428,-0.30674,-0.06974,-0.06956,1.26078,-0.20889,0.60697,-0.06029,1.37196
5.4619,2.5714,0.42879,-0.24074,0.2235,5.05652,-0.09067,-0.19565,1.80336,0.73191,4.81933,-0.0169,4.23728
4.58547,1.49137,-0.04709,2.37895,2.15808,-0.42284,1.34685,0.16103,4.64163,1.25476,4.44437,0.72247,-0.2982
5.09847,2.85969,-0.03738,2.07437,-0.39165,4.28119,0.15503,0.53624,-0.7049,0.47243,1.38848,0.11341,3.73185
4.48601,-0.09119,-0.00749,-0.02912,0.31608,1.0836,-0.00462,-0.15449,-0.33309,-0.27527,1.20083,-0.33396,4.78127
4.49306,3.07002,-0.1749,0.72485,2.27593,4.31645,-0.52304,-0.13438,0.05764,0.56954,1.26729,0.79803,4.74358
-1.35267,0.13798,-0.02472,0.20589,-0.20357,-0.16036,-0.08944,-0.19486,1.35264,-0.04715,2.54399,-0.02195,2.0131
4.6318,0.43904,-0.01769,-0.04159,2.55395,0.16226,-0.18105,0.35882,-0.05557,0.7254,0.88349,-0.13346,3.87679
3.80384,-0.42729,-0.13393,3.69553,0.87619,-0.30796,2.0114,-0.13355,3.67258,2.25584,3.16802,0.95228,-0.76193
2.97132,0.88409,2.46105,-0.09047,0.38488,-0.23296,-0.02875,-0.12807,-0.35299,2.26627,5.9779,-0.27513,1.22645
3.75482,1.47042,-0.12594,0.18757,-0.00366,1.05921,-0.06031,0.47685,-0.41727,-0.1553,1.09493,-0.10877,3.06661
0.14841,0.63664,-0.05199,-0.4044,-0.13273,-0.15242,-0.09256,-0.10695,0.33343,-0.09398,0.7037,-0.17351,-1.26275
4.97593,3.99626,-0.00283,0.09514,0.07718,4.37465,0.2097,1.11614,-0.06178,0.13661,2.21951,0.78343,4.15723
4.91599,-0.3509,1.02253,0.19469,3.19261,2.30699,0.82749,0.21825,-0.27212,-0.5759,2.49777,0.88217,4.4277
3.85106,2.31915,1.72394,-0.05867,0.90499,1.05879,-0.36023,0.55848,0.11065,1.54369,0.7715,-0.11007,1.5762
-1.33134,0.74934,0.41627,-0.03081,-0.2402,-0.09808,-0.06438,-0.02272,1.52616,1.43764,2.10825,1.61014,2.09292
4.65181,2.49363,2.3265,0.50737,1.12426,-0.03929,0.01549,2.48856,0.61028,2.11049,3.80557,0.94757,-0.35594
4.77143,3.49631,0.44614,0.04303,-0.0764,-0.69871,0.38316,1.03266,-0.21133,-0.03126,2.13225,-0.00962,-1.19897
4.08758,3.87702,0.12264,-0.09887,0.02847,3.71677,-0.06096,0.60935,-0.14066,-0.08162,1.39456,0.33826,4.13243
5.18715,-0.48007,-0.15831,0.23374,4.07,2.32859,0.91877,-0.02653,-0.42665,-0.1652,1.38435,0.55292,4.26427
0.16509,0.2996,-0.13066,2.11269,0.2814,-0.11033,0.42704,-0.10698,1.79048,0.35151,4.27361,1.10169,4.12412
4.08808,-0.58778,-0.06845,2.10977,2.43815,-0.01457,0.52195,-0.08865,4.13011,1.35617,3.16632,1.08035,0.18828
2.53057,-0.33041,-0.27386,-0.16098,0.31097,0.28809,-0.17464,-0.11665,3.15301,1.74267,4.23023,0.93393,1.25389
2.95936,0.0719,1.32186,0.35758,-0.02446,-0.12833,-0.02346,0.69772,-0.1037,1.47253,2.03608,-0.02509,0.13968
4.3284,0.2364,1.28333,-0.33764,4.17995,1.2818,-0.30375,-0.13648,-0.547,0.42476,2.33347,-0.16927,4.28579
-0.43109,0.87762,-0.34236,0.73135,-0.01742,-0.27047,0.68215,-0.09939,-0.19502,-0.2785,0.02916,0.26729,3.16842
-0.67708,0.80661,-0.08155,-0.00246,-0.19406,-0.04681,-0.07507,-0.10588,-0.81373,-0.02469,-0.0138,-0.05276,-1.27712
4.0422,1.11651,-0.07151,-0.32765,3.49291,0.2135,-0.14408,-0.15421,0.93161,-0.15521,1.82346,0.936,4.60324
-0.43043,0.09395,-0.19703,0.39516,-0.02533,-0.03413,-0.32744,0.33575,0.66729,-0.21613,0.18014,0.33388,1.13618
0.34638,-0.23325,-0.18243,0.17307,0.29552,-0.04676,0.8671,0.85373,2.05211,0.5255,2.38,0.69035,4.52508
5.11113,2.46865,-0.38728,1.68848,-0.1999,4.3493,2.53199,0.30498,-0.24973,0.37133,1.53728,0.19723,2.86416
4.53969,2.26641,-0.12146,0.28373,-0.18315,0.94912,-0.00204,-0.05068,-0.37022,0.51843,2.01629,-0.00153,-0.66828
4.91135,0.38389,-0.09774,-0.03048,3.00088,-0.05298,-0.08524,-0.09911,0.10691,-0.42851,-0.06635,0.22546,4.14885
4.85523,2.33922,0.43682,0.21215,-0.18286,4.51466,0.74224,0.67848,0.5879,0.36041,1.24488,0.4355,4.44586
4.72761,-0.00633,-0.17482,1.74612,3.41379,0.84869,-0.14368,-0.05188,0.90439,-0.06464,1.25326,1.78718,3.28542
4.81319,1.26667,0.28065,1.58608,3.14852,1.18446,-0.15926,0.84332,-0.08773,-0.01848,1.80913,-0.12219,4.32179
-0.19011,0.40315,-0.15008,-0.14937,0.95834,-0.39859,-0.18193,0.60696,1.54187,-0.20457,0.34163,0.13498,3.42084
3.93774,1.65115,-0.17837,0.53696,-0.08018,3.83199,-0.06977,1.41432,-0.05211,-0.12057,2.16834,-0.13546,2.66016
4.3511,2.0817,-0.09436,-0.0828,1.76569,-0.1661,-0.41974,0.24603,4.31262,0.91374,4.10883,0.59275,2.81438
4.4294,0.28785,0.15776,1.67503,3.0678,-0.12526,0.2517,-0.14728,1.57718,-0.07695,0.83649,-0.0941,1.66518
4.74293,-0.19275,-0.3343,3.91293,2.24523,-0.0671,1.04375,0.20512,5.36701,2.1797,4.52935,0.46669,-1.03655
2.0816,0.31405,-0.03177,2.00881,0.25458,-0.03303,0.13531,-0.15802,2.42138,0.68998,2.23449,0.42137,2.22352
1.96844,0.22713,-0.08685,-0.06917,-0.02396,0.73672,0.14315,-0.11141,0.4782,-0.13557,2.89598,0.26634,1.67429
4.42252,-0.79078,0.86188,1.15082,3.48897,-0.27991,0.50805,-0.1715,0.99787,-0.30635,3.22739,1.47595,4.51522
5.14735,-0.21072,-0.1093,1.49572,3.5261,2.71539,-0.03176,0.56336,-0.16166,1.16276,1.74905,-0.40876,3.89716
3.78483,2.41509,2.0988,-0.01078,-0.07459,-0.04738,-0.02087,3.49306,0.03691,0.4091,1.48489,-0.15384,-0.45595
4.87504,3.69882,1.81201,0.7627,-0.20526,0.97012,0.6061,1.06144,0.19116,-0.36517,2.09829,0.82406,-1.43024
1.32839,-0.60154,0.60888,-0.57843,-0.36895,-0.55123,-0.1362,-0.09915,-0.10485,-0.06717,-1.02672,-0.05984,1.32023
4.73545,2.05024,0.54487,3.11111,0.39672,0.85389,-0.09082,0.65992,5.14047,0.29013,4.40636,1.1601,0.81189
2.60878,-0.81791,0.77773,2.14408,-0.0358,-0.11975,-0.11313,-0.06264,2.75299,0.91682,2.40008,0.60314,0.75373
4.86561,2.67541,-0.80266,-0.02166,3.9354,1.87434,-0.34807,0.63417,-0.87183,-0.12065,3.40088,1.63795,5.24751
-0.4948,0.45553,-0.13285,-0.0249,1.30687,-0.17593,0.12641,-0.10273,-0.29806,2.01387,1.24016,0.25406,2.48089
2.39143,0.14236,1.36835,1.39416,1.46284,-0.1539,-0.0932,-0.04813,2.75007,0.26818,2.1115,0.3941,2.33858
3.90117,3.54354,-0.33479,-0.28026,-0.18162,2.25275,-0.07422,0.63062,1.08945,0.38579,5.74363,-0.02391,-1.00545
4.59717,1.37078,0.8563,0.05304,3.34855,0.44772,1.61322,0.89702,-0.04746,-0.16623,0.46242,-0.14022,4.95339
2.35542,1.65736,-0.16381,1.35238,0.28503,0.87984,3.39779,0.49929,3.3873,1.3143,5.11515,0.63921,0.06291
1.05377,-0.7128,2.4163,0.28234,-0.02352,-0.32307,0.5971,-0.04469,-0.23595,-0.0468,5.62621,0.38168,-3.38574
4.68651,1.72727,2.65156,0.06939,0.008,0.57633,-0.86603,1.28934,0.9901,0.60299,2.51031,-0.10239,-0.14308
4.75152,3.20406,-0.28494,-0.06421,-0.17822,4.59844,-0.08903,1.01666,0.84243,-0.20031,4.04191,0.20847,3.90085
5.13854,0.03363,-0.01991,0.90189,-0.09777,0.31435,-0.07236,-0.13166,2.09786,0.13064,2.21443,1.70053,3.40986
4.53621,4.01612,0.67114,0.66508,0.23309,-0.19876,-0.1452,-0.0247,-0.1495,-0.24879,5.31291,-0.04152,2.10706
3.90001,2.54363,2.13987,-0.02259,0.21905,-0.04283,1.08714,0.77905,-0.42438,1.89986,2.35165,-0.15811,1.41921
1.19247,-0.14658,-0.16656,0.56774,0.25481,0.20943,1.25103,1.2243,1.15794,-0.00051,5.16697,2.08003,1.17365
3.60658,0.38589,-0.0481,0.59994,2.29318,1.29841,0.67015,-0.10396,4.54135,1.44057,4.09845,0.55325,2.21667
5.03971,0.68294,-0.1021,-0.07524,3.34493,1.65503,0.45808,-0.12353,-0.09403,0.06341,1.47599,0.42668,4.02505
4.82115,3.79403,-0.09709,0.94557,0.27683,3.53611,-0.07673,0.01673,-0.46626,0.11623,4.3795,-0.00674,3.59664
-0.25607,-0.48539,-0.11397,-0.20075,-0.13985,-0.32162,0.25139,-0.02127,-0.10948,-0.30504,2.62436,1.80126,3.29781
4.02485,3.05281,-0.42509,-0.24248,2.77412,-0.06433,0.61862,1.326,-0.01643,-0.14411,2.80718,-0.0512,4.8788
4.13862,2.95157,-0.1608,-0.13157,-0.14432,-0.23682,-0.18881,-0.16889,-0.28734,-0.13975,4.22691,0.3111,-0.32256
3.52577,2.54803,0.00722,-0.09159,3.06489,0.62437,0.23006,-0.07264,0.5763,-0.16029,1.99651,-0.18375,3.95081
4.40429,0.68047,-0.08149,-0.293,3.94662,0.3814,-0.00122,-0.17372,1.42054,-0.13701,0.70529,1.35236,4.33127
2.71536,-0.33733,-0.1137,-0.16182,-0.14938,0.80485,-0.19424,-0.10055,3.0035,2.03326,4.23071,-0.15707,4.53698
4.26378,3.32042,-0.05061,-0.11173,3.1019,0.91379,-0.12286,1.17883,-0.30784,0.81272,2.74241,-0.13182,3.3616
4.74319,-0.03764,-0.18843,3.37144,1.32527,0.81025,-0.18733,0.95832,4.10478,0.25132,3.25904,-0.06772,-0.33849
4.70643,0.04858,-0.03363,1.2684,2.26993,0.72958,0.16204,-0.18494,-0.3625,1.39964,1.33834,1.19166,4.53826
1.85908,-0.04926,0.33202,2.58903,-0.17435,0.07782,-0.00177,-0.10922,1.3518,-0.1789,1.95654,-0.2779,2.1568
3.42645,1.9423,-0.08532,0.1983,-0.09796,-0.0665,0.3527,-0.19719,0.35297,0.8765,2.65515,1.59232,1.39528
4.64404,3.20191,-0.08753,0.23541,0.47704,4.23185,-0.14077,1.79088,-0.71447,1.19008,2.26421,0.54895,3.81648
3.95853,2.79903,1.13063,-0.04712,-0.08886,-0.13994,0.35222,2.30273,0.54954,1.46843,3.04338,0.54419,-0.24657
-0.32118,0.0968,0.12652,-0.05878,-0.04974,-0.12629,-0.0629,-0.02078,1.66493,-0.09702,0.6764,1.06304,-0.93468
4.27131,0.58939,-0.15782,2.23542,1.42756,-0.13855,-0.06377,0.27126,4.21765,1.10041,4.07304,0.97595,-2.20685
4.13735,1.61099,-0.14017,0.29406,2.74207,3.17425,-0.04751,-0.12191,1.02118,-0.025,0.85636,-0.04071,3.92757
2.87426,1.67744,2.67207,-0.18131,-0.02704,-0.08535,-0.18797,-0.0991,-0.34189,0.43815,5.9447,-0.18815,-0.65006
4.92276,1.88855,1.08645,-0.20493,1.11594,4.21897,0.38369,0.68151,0.83586,-0.05052,1.03307,0.29776,3.95083
4.40955,-0.51045,0.33491,-0.06336,3.60442,1.05095,-0.09306,-0.1541,-0.09674,0.60477,3.33281,1.41509,4.44103
